French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
demandé,request
droit,law
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
